,week_ending,Case_Rate_Location,Case_Count,dayofyear,year,CasesByModZCTA_ID
0,2020-08-08,CITY,20.69,221,2020,2241
1,2020-08-15,CITY,21.91,228,2020,2248
2,2020-08-22,CITY,20.82,235,2020,2255
3,2020-08-29,CITY,21.5,242,2020,2262
4,2020-09-05,CITY,21.71,249,2020,2269
5,2020-09-12,CITY,25.51,256,2020,2276
6,2020-09-19,CITY,31.67,263,2020,2283
7,2020-09-26,CITY,40.87,270,2020,2290
8,2020-10-03,CITY,48.72,277,2020,2297
9,2020-10-10,CITY,48.58,284,2020,2304
10,2020-10-17,CITY,49.04,291,2020,2311
11,2020-10-24,CITY,60.07,298,2020,2318
12,2020-10-31,CITY,66.45,305,2020,2325
13,2020-11-07,CITY,104.18,312,2020,2332
14,2020-11-14,CITY,151.12,319,2020,2339
15,2020-11-21,CITY,170.77,326,2020,2346
16,2020-11-28,CITY,196.81,333,2020,2353
17,2020-12-05,CITY,278.73,340,2020,2360
18,2020-12-12,CITY,299.18,347,2020,2367
19,2020-12-19,CITY,305.84,354,2020,2374
20,2020-12-26,CITY,325.94,361,2020,2381
21,2021-01-02,CITY,399.6,2,2021,2023
22,2021-01-09,CITY,521.07,9,2021,2030
23,2021-01-16,CITY,479.28,16,2021,2037
24,2021-01-23,CITY,455.91,23,2021,2044
25,2021-01-30,CITY,432.3,30,2021,2051
26,2021-02-06,CITY,350.85,37,2021,2058
27,2021-02-13,CITY,338.62,44,2021,2065
28,2021-02-20,CITY,299.67,51,2021,2072
29,2021-02-27,CITY,327.02,58,2021,2079
30,2021-03-06,CITY,315.52,65,2021,2086
31,2021-03-13,CITY,318.44,72,2021,2093
32,2021-03-20,CITY,312.42,79,2021,2100
33,2021-03-27,CITY,345.02,86,2021,2107
34,2021-04-03,CITY,296.49,93,2021,2114
35,2021-04-10,CITY,265.99,100,2021,2121
36,2021-04-17,CITY,211.34,107,2021,2128
37,2021-04-24,CITY,148.95,114,2021,2135
38,2021-05-01,CITY,109.13,121,2021,2142
39,2021-05-08,CITY,76.5,128,2021,2149
40,2021-05-15,CITY,54.21,135,2021,2156
41,2021-05-22,CITY,38.35,142,2021,2163
42,2021-05-29,CITY,25.83,149,2021,2170
43,2021-06-05,CITY,20.08,156,2021,2177
44,2021-06-12,CITY,17.84,163,2021,2184
45,2021-06-19,CITY,16.64,170,2021,2191
46,2021-06-26,CITY,16.86,177,2021,2198
47,2021-07-03,CITY,20.44,184,2021,2205
48,2021-07-10,CITY,32.04,191,2021,2212
49,2021-07-17,CITY,51.81,198,2021,2219
50,2021-07-24,CITY,83.05,205,2021,2226
51,2021-07-31,CITY,120.87,212,2021,2233
52,2021-08-07,CITY,149.27,219,2021,2240
53,2021-08-14,CITY,156.75,226,2021,2247
54,2021-08-21,CITY,161.81,233,2021,2254
55,2021-08-28,CITY,152.26,240,2021,2261
56,2021-09-04,CITY,140.79,247,2021,2268
57,2021-09-11,CITY,137.43,254,2021,2275
58,2021-09-18,CITY,151.72,261,2021,2282
59,2021-09-25,CITY,137.77,268,2021,2289
60,2021-10-02,CITY,116.6,275,2021,2296
61,2021-10-09,CITY,112.03,282,2021,2303
62,2021-10-16,CITY,95.61,289,2021,2310
63,2021-10-23,CITY,75.7,296,2021,2317
64,2021-10-30,CITY,67.36,303,2021,2324
65,2021-11-06,CITY,74.97,310,2021,2331
66,2020-08-08,BX,28.77,221,2020,2241
67,2020-08-15,BX,30.6,228,2020,2248
68,2020-08-22,BX,26.65,235,2020,2255
69,2020-08-29,BX,28.7,242,2020,2262
70,2020-09-05,BX,21.15,249,2020,2269
71,2020-09-12,BX,24.68,256,2020,2276
72,2020-09-19,BX,26.3,263,2020,2283
73,2020-09-26,BX,32.72,270,2020,2290
74,2020-10-03,BX,32.36,277,2020,2297
75,2020-10-10,BX,38.15,284,2020,2304
76,2020-10-17,BX,44.21,291,2020,2311
77,2020-10-24,BX,53.94,298,2020,2318
78,2020-10-31,BX,65.58,305,2020,2325
79,2020-11-07,BX,100.55,312,2020,2332
80,2020-11-14,BX,146.03,319,2020,2339
81,2020-11-21,BX,183.82,326,2020,2346
82,2020-11-28,BX,206.67,333,2020,2353
83,2020-12-05,BX,287.76,340,2020,2360
84,2020-12-12,BX,299.11,347,2020,2367
85,2020-12-19,BX,300.24,354,2020,2374
86,2020-12-26,BX,313.64,361,2020,2381
87,2021-01-02,BX,431.88,2,2021,2023
88,2021-01-09,BX,568.53,9,2021,2030
89,2021-01-16,BX,538.99,16,2021,2037
90,2021-01-23,BX,536.1,23,2021,2044
91,2021-01-30,BX,517.2,30,2021,2051
92,2021-02-06,BX,434.35,37,2021,2058
93,2021-02-13,BX,432.94,44,2021,2065
94,2021-02-20,BX,361.44,51,2021,2072
95,2021-02-27,BX,384.22,58,2021,2079
96,2021-03-06,BX,344.87,65,2021,2086
97,2021-03-13,BX,324.85,72,2021,2093
98,2021-03-20,BX,305.24,79,2021,2100
99,2021-03-27,BX,340.29,86,2021,2107
100,2021-04-03,BX,296.15,93,2021,2114
101,2021-04-10,BX,254.62,100,2021,2121
102,2021-04-17,BX,201.87,107,2021,2128
103,2021-04-24,BX,147.58,114,2021,2135
104,2021-05-01,BX,110.21,121,2021,2142
105,2021-05-08,BX,81.23,128,2021,2149
106,2021-05-15,BX,56.97,135,2021,2156
107,2021-05-22,BX,41.25,142,2021,2163
108,2021-05-29,BX,27.43,149,2021,2170
109,2021-06-05,BX,28.49,156,2021,2177
110,2021-06-12,BX,25.67,163,2021,2184
111,2021-06-19,BX,17.77,170,2021,2191
112,2021-06-26,BX,13.54,177,2021,2198
113,2021-07-03,BX,17.42,184,2021,2205
114,2021-07-10,BX,26.51,191,2021,2212
115,2021-07-17,BX,42.45,198,2021,2219
