,date,MODZCTA_Location,Hosp_Rate,dayofyear,year,Hospital_by_modzcta_ID
0,2020-03-01,Bronx,269.6,61,2020,2081
1,2020-04-01,Bronx,442.5,92,2020,2112
2,2020-05-01,Bronx,67.5,122,2020,2142
3,2020-06-01,Bronx,22.4,153,2020,2173
4,2020-07-01,Bronx,18.7,183,2020,2203
5,2020-08-01,Bronx,17.8,214,2020,2234
6,2020-09-01,Bronx,12.6,245,2020,2265
7,2020-10-01,Bronx,16.8,275,2020,2295
8,2020-11-01,Bronx,42.6,306,2020,2326
9,2020-12-01,Bronx,105.5,336,2020,2356
10,2021-01-01,Bronx,168.0,1,2021,2022
11,2021-02-01,Bronx,149.0,32,2021,2053
12,2021-03-01,Bronx,121.1,60,2021,2081
13,2021-04-01,Bronx,70.3,91,2021,2112
14,2021-05-01,Bronx,22.3,121,2021,2142
15,2021-06-01,Bronx,10.6,152,2021,2173
16,2021-07-01,Bronx,16.2,182,2021,2203
17,2021-08-01,Bronx,51.0,213,2021,2234
18,2021-09-01,Bronx,37.8,244,2021,2265
19,2021-10-01,Bronx,21.3,274,2021,2295
20,2020-03-01,Brooklyn,207.7,61,2020,2081
21,2020-04-01,Brooklyn,301.1,92,2020,2112
22,2020-05-01,Brooklyn,46.0,122,2020,2142
23,2020-06-01,Brooklyn,21.6,153,2020,2173
24,2020-07-01,Brooklyn,14.1,183,2020,2203
25,2020-08-01,Brooklyn,11.9,214,2020,2234
26,2020-09-01,Brooklyn,14.6,245,2020,2265
27,2020-10-01,Brooklyn,25.4,275,2020,2295
28,2020-11-01,Brooklyn,35.0,306,2020,2326
29,2020-12-01,Brooklyn,88.8,336,2020,2356
30,2021-01-01,Brooklyn,131.5,1,2021,2022
31,2021-02-01,Brooklyn,114.1,32,2021,2053
32,2021-03-01,Brooklyn,105.8,60,2021,2081
33,2021-04-01,Brooklyn,69.4,91,2021,2112
34,2021-05-01,Brooklyn,22.1,121,2021,2142
35,2021-06-01,Brooklyn,10.0,152,2021,2173
36,2021-07-01,Brooklyn,15.4,182,2021,2203
37,2021-08-01,Brooklyn,37.2,213,2021,2234
38,2021-09-01,Brooklyn,29.5,244,2021,2265
39,2021-10-01,Brooklyn,19.2,274,2021,2295
40,2020-03-01,Manhattan,168.7,61,2020,2081
41,2020-04-01,Manhattan,238.7,92,2020,2112
42,2020-05-01,Manhattan,33.6,122,2020,2142
43,2020-06-01,Manhattan,13.0,153,2020,2173
44,2020-07-01,Manhattan,10.7,183,2020,2203
45,2020-08-01,Manhattan,7.2,214,2020,2234
46,2020-09-01,Manhattan,6.2,245,2020,2265
47,2020-10-01,Manhattan,10.4,275,2020,2295
48,2020-11-01,Manhattan,26.3,306,2020,2326
49,2020-12-01,Manhattan,67.2,336,2020,2356
50,2021-01-01,Manhattan,98.5,1,2021,2022
51,2021-02-01,Manhattan,84.3,32,2021,2053
52,2021-03-01,Manhattan,71.5,60,2021,2081
53,2021-04-01,Manhattan,39.8,91,2021,2112
54,2021-05-01,Manhattan,14.9,121,2021,2142
55,2021-06-01,Manhattan,5.6,152,2021,2173
56,2021-07-01,Manhattan,10.2,182,2021,2203
57,2021-08-01,Manhattan,27.3,213,2021,2234
58,2021-09-01,Manhattan,22.8,244,2021,2265
59,2021-10-01,Manhattan,14.4,274,2021,2295
60,2020-03-01,Queens,267.1,61,2020,2081
61,2020-04-01,Queens,397.1,92,2020,2112
62,2020-05-01,Queens,48.5,122,2020,2142
63,2020-06-01,Queens,18.5,153,2020,2173
