,week_ending,not_sequenced,sequenced,cases,pct_sequenced,incomplete,dayofyear,year,cases_sequenced_ID
0,2021-01-02,26786,532,27377,2,,2,2021,2023
1,2021-01-09,35421,871,36292,2,,9,2021,2030
2,2021-01-16,32610,415,33084,1,,16,2021,2037
3,2021-01-23,30058,481,30529,2,,23,2021,2044
4,2021-01-30,28414,775,29193,3,,30,2021,2051
5,2021-02-06,22723,1007,23761,4,,37,2021,2058
6,2021-02-13,21453,1067,22514,5,,44,2021,2065
7,2021-02-20,18353,1164,19475,6,,51,2021,2072
8,2021-02-27,20403,1114,21572,5,,58,2021,2079
9,2021-03-06,19067,1021,20161,5,,65,2021,2086
10,2021-03-13,18569,1777,20301,9,,72,2021,2093
11,2021-03-20,18623,1172,19804,6,,79,2021,2100
12,2021-03-27,20142,1969,22112,9,,86,2021,2107
13,2021-04-03,17481,1739,19213,9,,93,2021,2114
14,2021-04-10,15100,2192,17266,13,,100,2021,2121
15,2021-04-17,11779,1877,13578,14,,107,2021,2128
16,2021-04-24,8254,1247,9458,13,,114,2021,2135
17,2021-05-01,6069,1005,7074,14,,121,2021,2142
18,2021-05-08,4444,639,5042,13,,128,2021,2149
19,2021-05-15,3037,493,3514,14,,135,2021,2156
20,2021-05-22,2158,367,2501,15,,142,2021,2163
21,2021-05-29,1487,218,1688,13,,149,2021,2170
22,2021-06-05,1172,179,1340,13,,156,2021,2177
23,2021-06-12,1016,187,1201,16,,163,2021,2184
24,2021-06-19,955,137,1098,12,,170,2021,2191
25,2021-06-26,909,186,1097,17,,177,2021,2198
26,2021-07-03,1153,168,1331,13,,184,2021,2205
27,2021-07-10,1707,321,2034,16,,191,2021,2212
28,2021-07-17,2724,433,3180,14,,198,2021,2219
29,2021-07-24,4471,730,5212,14,,205,2021,2226
30,2021-07-31,6585,1088,7683,14,,212,2021,2233
31,2021-08-07,8253,1487,9784,15,,219,2021,2240
32,2021-08-14,8984,1751,10744,16,,226,2021,2247
33,2021-08-21,9125,1811,10910,17,,233,2021,2254
34,2021-08-28,8714,1615,10298,16,,240,2021,2261
35,2021-09-04,8430,1249,9712,13,,247,2021,2268
36,2021-09-11,7967,1338,9300,14,,254,2021,2275
37,2021-09-18,8350,1651,10016,16,,261,2021,2282
38,2021-09-25,7221,1483,8660,17,,268,2021,2289
39,2021-10-02,6255,1045,7291,14,,275,2021,2296
40,2021-10-09,6438,792,7244,11,,282,2021,2303
41,2021-10-16,5355,887,6226,14,,289,2021,2310
42,2021-10-23,4278,687,4928,14,2240.0,296,2021,2317
43,2021-10-30,3974,422,4378,10,2240.0,303,2021,2324
