,date,MODZCTA_Location,death_Rate,dayofyear,year,deathrate_by_modzcta_ID
0,2020-03-01,Bronx,38.7,61,2020,2081
1,2020-04-01,Bronx,238.1,92,2020,2112
2,2020-05-01,Bronx,46.4,122,2020,2142
3,2020-06-01,Bronx,11.6,153,2020,2173
4,2020-07-01,Bronx,4.7,183,2020,2203
5,2020-08-01,Bronx,2.8,214,2020,2234
6,2020-09-01,Bronx,2.4,245,2020,2265
7,2020-10-01,Bronx,1.6,275,2020,2295
8,2020-11-01,Bronx,4.1,306,2020,2326
9,2020-12-01,Bronx,11.2,336,2020,2356
10,2021-01-01,Bronx,24.7,1,2021,2022
11,2021-02-01,Bronx,31.0,32,2021,2053
12,2021-03-01,Bronx,24.5,60,2021,2081
13,2021-04-01,Bronx,14.3,91,2021,2112
14,2021-05-01,Bronx,6.3,121,2021,2142
15,2021-06-01,Bronx,1.9,152,2021,2173
16,2021-07-01,Bronx,1.6,182,2021,2203
17,2021-08-01,Bronx,3.1,213,2021,2234
18,2021-09-01,Bronx,5.1,244,2021,2265
19,2021-10-01,Bronx,3.1,274,2021,2295
20,2020-03-01,Brooklyn,31.1,61,2020,2081
21,2020-04-01,Brooklyn,201.3,92,2020,2112
22,2020-05-01,Brooklyn,37.5,122,2020,2142
23,2020-06-01,Brooklyn,8.3,153,2020,2173
24,2020-07-01,Brooklyn,3.2,183,2020,2203
25,2020-08-01,Brooklyn,1.4,214,2020,2234
26,2020-09-01,Brooklyn,1.9,245,2020,2265
27,2020-10-01,Brooklyn,2.7,275,2020,2295
28,2020-11-01,Brooklyn,4.8,306,2020,2326
29,2020-12-01,Brooklyn,12.6,336,2020,2356
30,2021-01-01,Brooklyn,28.2,1,2021,2022
31,2021-02-01,Brooklyn,27.0,32,2021,2053
32,2021-03-01,Brooklyn,21.5,60,2021,2081
33,2021-04-01,Brooklyn,17.5,91,2021,2112
34,2021-05-01,Brooklyn,7.9,121,2021,2142
35,2021-06-01,Brooklyn,2.9,152,2021,2173
36,2021-07-01,Brooklyn,1.4,182,2021,2203
37,2021-08-01,Brooklyn,4.7,213,2021,2234
38,2021-09-01,Brooklyn,5.4,244,2021,2265
39,2021-10-01,Brooklyn,3.8,274,2021,2295
40,2020-03-01,Manhattan,22.0,61,2020,2081
41,2020-04-01,Manhattan,129.4,92,2020,2112
42,2020-05-01,Manhattan,28.7,122,2020,2142
43,2020-06-01,Manhattan,6.5,153,2020,2173
44,2020-07-01,Manhattan,2.9,183,2020,2203
45,2020-08-01,Manhattan,1.5,214,2020,2234
46,2020-09-01,Manhattan,1.0,245,2020,2265
47,2020-10-01,Manhattan,1.3,275,2020,2295
48,2020-11-01,Manhattan,2.6,306,2020,2326
49,2020-12-01,Manhattan,9.2,336,2020,2356
50,2021-01-01,Manhattan,17.7,1,2021,2022
51,2021-02-01,Manhattan,19.9,32,2021,2053
52,2021-03-01,Manhattan,17.5,60,2021,2081
53,2021-04-01,Manhattan,10.1,91,2021,2112
54,2021-05-01,Manhattan,4.9,121,2021,2142
55,2021-06-01,Manhattan,1.8,152,2021,2173
56,2021-07-01,Manhattan,1.3,182,2021,2203
57,2021-08-01,Manhattan,2.3,213,2021,2234
58,2021-09-01,Manhattan,2.5,244,2021,2265
59,2021-10-01,Manhattan,2.0,274,2021,2295
60,2020-03-01,Queens,35.5,61,2020,2081
61,2020-04-01,Queens,224.1,92,2020,2112
62,2020-05-01,Queens,43.0,122,2020,2142
63,2020-06-01,Queens,10.4,153,2020,2173
64,2020-07-01,Queens,3.5,183,2020,2203
65,2020-08-01,Queens,1.5,214,2020,2234
66,2020-09-01,Queens,1.3,245,2020,2265
67,2020-10-01,Queens,1.9,275,2020,2295
68,2020-11-01,Queens,3.4,306,2020,2326
69,2020-12-01,Queens,12.6,336,2020,2356
70,2021-01-01,Queens,29.4,1,2021,2022
71,2021-02-01,Queens,27.6,32,2021,2053
72,2021-03-01,Queens,22.8,60,2021,2081
73,2021-04-01,Queens,16.7,91,2021,2112
74,2021-05-01,Queens,7.1,121,2021,2142
75,2021-06-01,Queens,2.6,152,2021,2173
76,2021-07-01,Queens,1.7,182,2021,2203
77,2021-08-01,Queens,3.5,213,2021,2234
78,2021-09-01,Queens,5.5,244,2021,2265
79,2021-10-01,Queens,4.8,274,2021,2295
80,2020-03-01,Staten_Island,25.6,61,2020,2081
81,2020-04-01,Staten_Island,149.3,92,2020,2112
82,2020-05-01,Staten_Island,36.5,122,2020,2142
83,2020-06-01,Staten_Island,8.4,153,2020,2173
84,2020-07-01,Staten_Island,2.3,183,2020,2203
85,2020-08-01,Staten_Island,1.1,214,2020,2234
86,2020-09-01,Staten_Island,,245,2020,2265
87,2020-10-01,Staten_Island,2.9,275,2020,2295
88,2020-11-01,Staten_Island,10.5,306,2020,2326
89,2020-12-01,Staten_Island,35.5,336,2020,2356
90,2021-01-01,Staten_Island,37.0,1,2021,2022
91,2021-02-01,Staten_Island,24.4,32,2021,2053
92,2021-03-01,Staten_Island,24.8,60,2021,2081
93,2021-04-01,Staten_Island,15.1,91,2021,2112
94,2021-05-01,Staten_Island,10.7,121,2021,2142
95,2021-06-01,Staten_Island,2.9,152,2021,2173
96,2021-07-01,Staten_Island,2.1,182,2021,2203
97,2021-08-01,Staten_Island,7.1,213,2021,2234
98,2021-09-01,Staten_Island,5.5,244,2021,2265
99,2021-10-01,Staten_Island,5.9,274,2021,2295
100,2020-03-01,Citywide,31.5,61,2020,2081
101,2020-04-01,Citywide,196.7,92,2020,2112
102,2020-05-01,Citywide,38.7,122,2020,2142
103,2020-06-01,Citywide,9.1,153,2020,2173
104,2020-07-01,Citywide,3.4,183,2020,2203
105,2020-08-01,Citywide,1.7,214,2020,2234
106,2020-09-01,Citywide,1.6,245,2020,2265
107,2020-10-01,Citywide,2.0,275,2020,2295
108,2020-11-01,Citywide,4.2,306,2020,2326
109,2020-12-01,Citywide,13.0,336,2020,2356
110,2021-01-01,Citywide,26.4,1,2021,2022
111,2021-02-01,Citywide,26.3,32,2021,2053
112,2021-03-01,Citywide,21.7,60,2021,2081
113,2021-04-01,Citywide,15.2,91,2021,2112
114,2021-05-01,Citywide,7.0,121,2021,2142
115,2021-06-01,Citywide,2.4,152,2021,2173
116,2021-07-01,Citywide,1.5,182,2021,2203
117,2021-08-01,Citywide,3.8,213,2021,2234
118,2021-09-01,Citywide,4.8,244,2021,2265
119,2021-10-01,Citywide,3.7,274,2021,2295
120,2020-03-01,10001,,61,2020,2081
121,2020-04-01,10001,47.1,92,2020,2112
122,2020-05-01,10001,21.7,122,2020,2142
123,2020-06-01,10001,,153,2020,2173
124,2020-07-01,10001,,183,2020,2203
125,2020-08-01,10001,0.0,214,2020,2234
126,2020-09-01,10001,,245,2020,2265
127,2020-10-01,10001,0.0,275,2020,2295
128,2020-11-01,10001,,306,2020,2326
129,2020-12-01,10001,,336,2020,2356
130,2021-01-01,10001,,1,2021,2022
131,2021-02-01,10001,18.1,32,2021,2053
132,2021-03-01,10001,,60,2021,2081
133,2021-04-01,10001,,91,2021,2112
134,2021-05-01,10001,0.0,121,2021,2142
135,2021-06-01,10001,,152,2021,2173
136,2021-07-01,10001,,182,2021,2203
137,2021-08-01,10001,0.0,213,2021,2234
138,2021-09-01,10001,,244,2021,2265
139,2021-10-01,10001,,274,2021,2295
140,2020-03-01,10002,30.5,61,2020,2081
141,2020-04-01,10002,177.9,92,2020,2112
142,2020-05-01,10002,41.2,122,2020,2142
143,2020-06-01,10002,9.3,153,2020,2173
144,2020-07-01,10002,,183,2020,2203
145,2020-08-01,10002,,214,2020,2234
146,2020-09-01,10002,0.0,245,2020,2265
147,2020-10-01,10002,0.0,275,2020,2295
148,2020-11-01,10002,,306,2020,2326
149,2020-12-01,10002,14.6,336,2020,2356
150,2021-01-01,10002,34.5,1,2021,2022
151,2021-02-01,10002,38.5,32,2021,2053
152,2021-03-01,10002,41.2,60,2021,2081
153,2021-04-01,10002,27.9,91,2021,2112
154,2021-05-01,10002,17.3,121,2021,2142
155,2021-06-01,10002,,152,2021,2173
156,2021-07-01,10002,0.0,182,2021,2203
157,2021-08-01,10002,,213,2021,2234
158,2021-09-01,10002,,244,2021,2265
159,2021-10-01,10002,8.0,274,2021,2295
160,2020-03-01,10003,9.3,61,2020,2081
161,2020-04-01,10003,53.7,92,2020,2112
162,2020-05-01,10003,11.1,122,2020,2142
163,2020-06-01,10003,0.0,153,2020,2173
164,2020-07-01,10003,0.0,183,2020,2203
165,2020-08-01,10003,,214,2020,2234
166,2020-09-01,10003,,245,2020,2265
167,2020-10-01,10003,0.0,275,2020,2295
168,2020-11-01,10003,,306,2020,2326
169,2020-12-01,10003,,336,2020,2356
170,2021-01-01,10003,,1,2021,2022
171,2021-02-01,10003,9.3,32,2021,2053
172,2021-03-01,10003,9.3,60,2021,2081
173,2021-04-01,10003,,91,2021,2112
174,2021-05-01,10003,,121,2021,2142
175,2021-06-01,10003,0.0,152,2021,2173
176,2021-07-01,10003,,182,2021,2203
177,2021-08-01,10003,,213,2021,2234
178,2021-09-01,10003,0.0,244,2021,2265
179,2021-10-01,10003,,274,2021,2295
180,2020-03-01,10004,0.0,61,2020,2081
181,2020-04-01,10004,,92,2020,2112
182,2020-05-01,10004,0.0,122,2020,2142
183,2020-06-01,10004,,153,2020,2173
184,2020-07-01,10004,,183,2020,2203
185,2020-08-01,10004,,214,2020,2234
186,2020-09-01,10004,,245,2020,2265
187,2020-10-01,10004,,275,2020,2295
188,2020-11-01,10004,0.0,306,2020,2326
189,2020-12-01,10004,0.0,336,2020,2356
190,2021-01-01,10004,,1,2021,2022
191,2021-02-01,10004,0.0,32,2021,2053
192,2021-03-01,10004,,60,2021,2081
193,2021-04-01,10004,0.0,91,2021,2112
194,2021-05-01,10004,,121,2021,2142
195,2021-06-01,10004,,152,2021,2173
196,2021-07-01,10004,0.0,182,2021,2203
197,2021-08-01,10004,0.0,213,2021,2234
198,2021-09-01,10004,,244,2021,2265
199,2021-10-01,10004,,274,2021,2295
200,2020-03-01,10005,0.0,61,2020,2081
201,2020-04-01,10005,,92,2020,2112
202,2020-05-01,10005,0.0,122,2020,2142
203,2020-06-01,10005,0.0,153,2020,2173
204,2020-07-01,10005,0.0,183,2020,2203
205,2020-08-01,10005,,214,2020,2234
206,2020-09-01,10005,,245,2020,2265
207,2020-10-01,10005,0.0,275,2020,2295
208,2020-11-01,10005,0.0,306,2020,2326
209,2020-12-01,10005,,336,2020,2356
210,2021-01-01,10005,0.0,1,2021,2022
211,2021-02-01,10005,0.0,32,2021,2053
212,2021-03-01,10005,0.0,60,2021,2081
213,2021-04-01,10005,0.0,91,2021,2112
214,2021-05-01,10005,,121,2021,2142
215,2021-06-01,10005,,152,2021,2173
216,2021-07-01,10005,0.0,182,2021,2203
217,2021-08-01,10005,0.0,213,2021,2234
218,2021-09-01,10005,0.0,244,2021,2265
219,2021-10-01,10005,,274,2021,2295
220,2020-03-01,10006,,61,2020,2081
221,2020-04-01,10006,0.0,92,2020,2112
222,2020-05-01,10006,,122,2020,2142
223,2020-06-01,10006,,153,2020,2173
224,2020-07-01,10006,,183,2020,2203
225,2020-08-01,10006,0.0,214,2020,2234
226,2020-09-01,10006,,245,2020,2265
227,2020-10-01,10006,,275,2020,2295
228,2020-11-01,10006,,306,2020,2326
229,2020-12-01,10006,,336,2020,2356
230,2021-01-01,10006,,1,2021,2022
231,2021-02-01,10006,,32,2021,2053
232,2021-03-01,10006,,60,2021,2081
233,2021-04-01,10006,,91,2021,2112
234,2021-05-01,10006,,121,2021,2142
235,2021-06-01,10006,,152,2021,2173
236,2021-07-01,10006,0.0,182,2021,2203
237,2021-08-01,10006,,213,2021,2234
238,2021-09-01,10006,0.0,244,2021,2265
239,2021-10-01,10006,,274,2021,2295
240,2020-03-01,10007,,61,2020,2081
241,2020-04-01,10007,,92,2020,2112
242,2020-05-01,10007,,122,2020,2142
243,2020-06-01,10007,,153,2020,2173
244,2020-07-01,10007,,183,2020,2203
245,2020-08-01,10007,,214,2020,2234
246,2020-09-01,10007,,245,2020,2265
247,2020-10-01,10007,,275,2020,2295
248,2020-11-01,10007,,306,2020,2326
249,2020-12-01,10007,0.0,336,2020,2356
250,2021-01-01,10007,,1,2021,2022
251,2021-02-01,10007,0.0,32,2021,2053
252,2021-03-01,10007,0.0,60,2021,2081
253,2021-04-01,10007,,91,2021,2112
254,2021-05-01,10007,,121,2021,2142
255,2021-06-01,10007,,152,2021,2173
256,2021-07-01,10007,0.0,182,2021,2203
257,2021-08-01,10007,,213,2021,2234
258,2021-09-01,10007,0.0,244,2021,2265
259,2021-10-01,10007,0.0,274,2021,2295
260,2020-03-01,10009,17.5,61,2020,2081
261,2020-04-01,10009,91.0,92,2020,2112
262,2020-05-01,10009,31.5,122,2020,2142
263,2020-06-01,10009,,153,2020,2173
264,2020-07-01,10009,0.0,183,2020,2203
265,2020-08-01,10009,,214,2020,2234
266,2020-09-01,10009,,245,2020,2265
267,2020-10-01,10009,0.0,275,2020,2295
268,2020-11-01,10009,0.0,306,2020,2326
269,2020-12-01,10009,12.2,336,2020,2356
270,2021-01-01,10009,24.5,1,2021,2022
271,2021-02-01,10009,22.7,32,2021,2053
272,2021-03-01,10009,24.5,60,2021,2081
273,2021-04-01,10009,14.0,91,2021,2112
274,2021-05-01,10009,,121,2021,2142
275,2021-06-01,10009,0.0,152,2021,2173
276,2021-07-01,10009,0.0,182,2021,2203
277,2021-08-01,10009,,213,2021,2234
278,2021-09-01,10009,,244,2021,2265
279,2021-10-01,10009,,274,2021,2295
280,2020-03-01,10010,,61,2020,2081
281,2020-04-01,10010,54.0,92,2020,2112
282,2020-05-01,10010,,122,2020,2142
283,2020-06-01,10010,0.0,153,2020,2173
284,2020-07-01,10010,0.0,183,2020,2203
285,2020-08-01,10010,0.0,214,2020,2234
286,2020-09-01,10010,0.0,245,2020,2265
287,2020-10-01,10010,0.0,275,2020,2295
288,2020-11-01,10010,,306,2020,2326
289,2020-12-01,10010,,336,2020,2356
290,2021-01-01,10010,21.0,1,2021,2022
291,2021-02-01,10010,,32,2021,2053
292,2021-03-01,10010,21.0,60,2021,2081
293,2021-04-01,10010,0.0,91,2021,2112
294,2021-05-01,10010,,121,2021,2142
295,2021-06-01,10010,0.0,152,2021,2173
296,2021-07-01,10010,0.0,182,2021,2203
297,2021-08-01,10010,,213,2021,2234
298,2021-09-01,10010,0.0,244,2021,2265
299,2021-10-01,10010,,274,2021,2295
300,2020-03-01,10011,18.1,61,2020,2081
301,2020-04-01,10011,56.3,92,2020,2112
302,2020-05-01,10011,24.1,122,2020,2142
303,2020-06-01,10011,,153,2020,2173
304,2020-07-01,10011,,183,2020,2203
305,2020-08-01,10011,,214,2020,2234
306,2020-09-01,10011,0.0,245,2020,2265
307,2020-10-01,10011,0.0,275,2020,2295
308,2020-11-01,10011,,306,2020,2326
309,2020-12-01,10011,0.0,336,2020,2356
310,2021-01-01,10011,,1,2021,2022
311,2021-02-01,10011,10.1,32,2021,2053
312,2021-03-01,10011,16.1,60,2021,2081
313,2021-04-01,10011,0.0,91,2021,2112
314,2021-05-01,10011,,121,2021,2142
315,2021-06-01,10011,,152,2021,2173
316,2021-07-01,10011,,182,2021,2203
317,2021-08-01,10011,0.0,213,2021,2234
318,2021-09-01,10011,,244,2021,2265
319,2021-10-01,10011,0.0,274,2021,2295
320,2020-03-01,10012,,61,2020,2081
321,2020-04-01,10012,56.2,92,2020,2112
322,2020-05-01,10012,,122,2020,2142
323,2020-06-01,10012,,153,2020,2173
324,2020-07-01,10012,0.0,183,2020,2203
325,2020-08-01,10012,0.0,214,2020,2234
326,2020-09-01,10012,0.0,245,2020,2265
327,2020-10-01,10012,0.0,275,2020,2295
328,2020-11-01,10012,0.0,306,2020,2326
329,2020-12-01,10012,,336,2020,2356
330,2021-01-01,10012,,1,2021,2022
331,2021-02-01,10012,,32,2021,2053
332,2021-03-01,10012,0.0,60,2021,2081
333,2021-04-01,10012,,91,2021,2112
334,2021-05-01,10012,,121,2021,2142
335,2021-06-01,10012,,152,2021,2173
336,2021-07-01,10012,,182,2021,2203
337,2021-08-01,10012,0.0,213,2021,2234
338,2021-09-01,10012,,244,2021,2265
339,2021-10-01,10012,0.0,274,2021,2295
340,2020-03-01,10013,,61,2020,2081
341,2020-04-01,10013,48.6,92,2020,2112
342,2020-05-01,10013,,122,2020,2142
343,2020-06-01,10013,,153,2020,2173
344,2020-07-01,10013,0.0,183,2020,2203
345,2020-08-01,10013,0.0,214,2020,2234
