,date_of_interest,HOSPITALIZED_COUNT,HOSP_COUNT_7DAY_AVG,BX_HOSPITALIZED_COUNT,BX_HOSPITALIZED_COUNT_7DAY_AVG,BK_HOSPITALIZED_COUNT,BK_HOSPITALIZED_COUNT_7DAY_AVG,MN_HOSPITALIZED_COUNT,MN_HOSPITALIZED_COUNT_7DAY_AVG,QN_HOSPITALIZED_COUNT,QN_HOSPITALIZED_COUNT_7DAY_AVG,SI_HOSPITALIZED_COUNT,SI_HOSPITALIZED_COUNT_7DAY_AVG,INCOMPLETE,dayofyear,year,hosp_by_day_ID
0,2020-02-29,1,0,0,0,1,0,0,0,0,0,0,0,0,60,2020,2080
1,2020-03-01,1,0,1,0,0,0,0,0,0,0,0,0,0,61,2020,2081
2,2020-03-02,2,0,0,0,2,0,0,0,0,0,0,0,0,62,2020,2082
3,2020-03-03,7,0,1,0,3,0,1,0,2,0,0,0,0,63,2020,2083
4,2020-03-04,2,0,0,0,1,0,1,0,0,0,0,0,0,64,2020,2084
5,2020-03-05,14,0,1,0,3,0,5,0,4,0,1,0,0,65,2020,2085
6,2020-03-06,8,5,1,1,1,2,3,1,2,1,1,0,0,66,2020,2086
7,2020-03-07,8,6,1,1,3,2,0,1,4,2,0,0,0,67,2020,2087
8,2020-03-08,18,8,5,1,8,3,1,2,4,2,0,0,0,68,2020,2088
9,2020-03-09,37,13,7,2,11,4,10,3,8,3,2,1,0,69,2020,2089
10,2020-03-10,58,21,6,3,12,6,12,5,23,6,5,1,0,70,2020,2090
11,2020-03-11,79,32,23,6,12,7,19,7,23,10,2,2,0,71,2020,2091
12,2020-03-12,107,45,19,9,34,12,16,9,36,14,3,2,0,72,2020,2092
13,2020-03-13,152,66,26,12,44,18,31,13,50,21,2,2,0,73,2020,2093
14,2020-03-14,176,90,22,15,40,23,36,18,72,31,7,3,0,74,2020,2094
15,2020-03-15,210,117,38,20,52,29,34,23,67,40,19,6,0,75,2020,2095
16,2020-03-16,340,160,74,30,92,41,46,28,114,55,15,8,0,76,2020,2096
17,2020-03-17,387,207,61,38,100,53,77,37,129,70,23,10,0,77,2020,2097
18,2020-03-18,494,267,111,50,123,69,87,47,153,89,23,13,0,78,2020,2098
19,2020-03-19,634,342,135,67,160,87,107,60,208,113,26,16,0,79,2020,2099
20,2020-03-20,740,426,126,81,223,113,114,72,250,142,33,21,0,80,2020,2100
21,2020-03-21,741,507,164,101,185,134,119,83,243,166,33,25,0,81,2020,2101
22,2020-03-22,774,587,174,121,207,156,132,97,232,190,34,27,0,82,2020,2102
23,2020-03-23,1143,702,221,142,299,185,188,118,393,230,43,31,0,83,2020,2103
24,2020-03-24,1305,833,271,172,365,223,206,136,424,272,48,34,0,84,2020,2104
25,2020-03-25,1422,966,313,201,422,266,200,152,451,314,54,39,0,85,2020,2105
26,2020-03-26,1534,1094,320,227,489,313,228,170,452,349,56,43,0,86,2020,2106
27,2020-03-27,1571,1213,317,254,473,349,223,185,514,387,64,47,0,87,2020,2107
28,2020-03-28,1382,1304,315,276,397,379,187,195,452,417,50,50,0,88,2020,2108
29,2020-03-29,1502,1408,324,297,461,415,163,199,505,456,64,54,0,89,2020,2109
30,2020-03-30,1849,1509,353,316,555,452,277,212,611,487,72,58,0,90,2020,2110
31,2020-03-31,1785,1578,393,334,541,477,224,215,594,511,70,61,0,91,2020,2111
32,2020-04-01,1729,1622,379,343,502,488,220,217,580,530,83,66,0,92,2020,2112
33,2020-04-02,1663,1640,357,348,445,482,244,220,572,547,74,68,0,93,2020,2113
34,2020-04-03,1708,1660,388,358,451,479,258,225,561,554,69,69,0,94,2020,2114
35,2020-04-04,1447,1669,313,358,380,476,202,227,523,564,54,69,0,95,2020,2115
36,2020-04-05,1401,1655,315,357,405,468,192,231,441,555,72,71,0,96,2020,2116
37,2020-04-06,1742,1639,391,362,473,457,266,229,553,546,82,72,0,97,2020,2117
38,2020-04-07,1574,1609,335,354,458,445,195,225,539,538,69,72,0,98,2020,2118
39,2020-04-08,1539,1582,361,351,452,438,172,218,519,530,63,69,0,99,2020,2119
