,week_ending,MODZCTA_Location,Percent,dayofyear,year,positivecaserate_ID
0,2020-08-08,CITY,1.25,221,2020,2241
1,2020-08-15,CITY,1.22,228,2020,2248
2,2020-08-22,CITY,1.03,235,2020,2255
3,2020-08-29,CITY,1.06,242,2020,2262
4,2020-09-05,CITY,0.95,249,2020,2269
5,2020-09-12,CITY,1.17,256,2020,2276
6,2020-09-19,CITY,1.19,263,2020,2283
7,2020-09-26,CITY,1.46,270,2020,2290
8,2020-10-03,CITY,1.75,277,2020,2297
9,2020-10-10,CITY,1.54,284,2020,2304
10,2020-10-17,CITY,1.64,291,2020,2311
11,2020-10-24,CITY,1.78,298,2020,2318
12,2020-10-31,CITY,1.88,305,2020,2325
13,2020-11-07,CITY,2.49,312,2020,2332
14,2020-11-14,CITY,3.2,319,2020,2339
15,2020-11-21,CITY,3.3,326,2020,2346
16,2020-11-28,CITY,4.56,333,2020,2353
17,2020-12-05,CITY,5.4,340,2020,2360
18,2020-12-12,CITY,5.84,347,2020,2367
19,2020-12-19,CITY,6.33,354,2020,2374
20,2020-12-26,CITY,7.8,361,2020,2381
21,2021-01-02,CITY,9.48,2,2021,2023
22,2021-01-09,CITY,8.91,9,2021,2030
23,2021-01-16,CITY,8.89,16,2021,2037
24,2021-01-23,CITY,8.85,23,2021,2044
25,2021-01-30,CITY,8.52,30,2021,2051
26,2021-02-06,CITY,8.51,37,2021,2058
27,2021-02-13,CITY,7.18,44,2021,2065
28,2021-02-20,CITY,7.3,51,2021,2072
29,2021-02-27,CITY,6.43,58,2021,2079
30,2021-03-06,CITY,6.39,65,2021,2086
31,2021-03-13,CITY,6.44,72,2021,2093
32,2021-03-20,CITY,6.3,79,2021,2100
33,2021-03-27,CITY,6.49,86,2021,2107
34,2021-04-03,CITY,6.76,93,2021,2114
35,2021-04-10,CITY,5.45,100,2021,2121
36,2021-04-17,CITY,4.84,107,2021,2128
37,2021-04-24,CITY,3.64,114,2021,2135
38,2021-05-01,CITY,2.79,121,2021,2142
39,2021-05-08,CITY,2.08,128,2021,2149
40,2021-05-15,CITY,1.53,135,2021,2156
41,2021-05-22,CITY,1.13,142,2021,2163
42,2021-05-29,CITY,0.86,149,2021,2170
43,2021-06-05,CITY,0.75,156,2021,2177
44,2021-06-12,CITY,0.6,163,2021,2184
45,2021-06-19,CITY,0.55,170,2021,2191
46,2021-06-26,CITY,0.59,177,2021,2198
47,2021-07-03,CITY,0.83,184,2021,2205
48,2021-07-10,CITY,1.27,191,2021,2212
49,2021-07-17,CITY,1.77,198,2021,2219
50,2021-07-24,CITY,2.48,205,2021,2226
51,2021-07-31,CITY,3.23,212,2021,2233
52,2021-08-07,CITY,3.63,219,2021,2240
53,2021-08-14,CITY,3.92,226,2021,2247
54,2021-08-21,CITY,3.75,233,2021,2254
55,2021-08-28,CITY,3.67,240,2021,2261
56,2021-09-04,CITY,3.33,247,2021,2268
57,2021-09-11,CITY,2.99,254,2021,2275
58,2021-09-18,CITY,2.78,261,2021,2282
59,2021-09-25,CITY,2.33,268,2021,2289
60,2021-10-02,CITY,1.94,275,2021,2296
61,2021-10-09,CITY,1.84,282,2021,2303
62,2021-10-16,CITY,1.77,289,2021,2310
63,2021-10-23,CITY,1.41,296,2021,2317
64,2021-10-30,CITY,1.37,303,2021,2324
65,2021-11-06,CITY,1.47,310,2021,2331
66,2020-08-08,BX,1.65,221,2020,2241
67,2020-08-15,BX,1.64,228,2020,2248
68,2020-08-22,BX,1.32,235,2020,2255
69,2020-08-29,BX,1.53,242,2020,2262
70,2020-09-05,BX,1.02,249,2020,2269
71,2020-09-12,BX,1.31,256,2020,2276
72,2020-09-19,BX,1.17,263,2020,2283
73,2020-09-26,BX,1.33,270,2020,2290
74,2020-10-03,BX,1.52,277,2020,2297
75,2020-10-10,BX,1.59,284,2020,2304
76,2020-10-17,BX,1.67,291,2020,2311
77,2020-10-24,BX,1.84,298,2020,2318
78,2020-10-31,BX,2.12,305,2020,2325
79,2020-11-07,BX,2.96,312,2020,2332
80,2020-11-14,BX,3.57,319,2020,2339
81,2020-11-21,BX,4.19,326,2020,2346
82,2020-11-28,BX,5.68,333,2020,2353
83,2020-12-05,BX,6.17,340,2020,2360
84,2020-12-12,BX,6.26,347,2020,2367
85,2020-12-19,BX,7.12,354,2020,2374
86,2020-12-26,BX,8.68,361,2020,2381
87,2021-01-02,BX,11.31,2,2021,2023
88,2021-01-09,BX,10.72,9,2021,2030
89,2021-01-16,BX,10.38,16,2021,2037
90,2021-01-23,BX,10.8,23,2021,2044
91,2021-01-30,BX,10.58,30,2021,2051
92,2021-02-06,BX,11.07,37,2021,2058
93,2021-02-13,BX,9.61,44,2021,2065
94,2021-02-20,BX,9.74,51,2021,2072
95,2021-02-27,BX,8.25,58,2021,2079
96,2021-03-06,BX,7.91,65,2021,2086
97,2021-03-13,BX,7.45,72,2021,2093
98,2021-03-20,BX,6.76,79,2021,2100
99,2021-03-27,BX,6.62,86,2021,2107
100,2021-04-03,BX,7.29,93,2021,2114
101,2021-04-10,BX,5.35,100,2021,2121
102,2021-04-17,BX,4.68,107,2021,2128
103,2021-04-24,BX,3.61,114,2021,2135
104,2021-05-01,BX,2.72,121,2021,2142
105,2021-05-08,BX,2.15,128,2021,2149
106,2021-05-15,BX,1.63,135,2021,2156
107,2021-05-22,BX,1.22,142,2021,2163
108,2021-05-29,BX,0.95,149,2021,2170
109,2021-06-05,BX,0.98,156,2021,2177
110,2021-06-12,BX,0.81,163,2021,2184
111,2021-06-19,BX,0.63,170,2021,2191
112,2021-06-26,BX,0.51,177,2021,2198
