,week_ending,age_all_ages,age_0_4,age_5_12,age_13_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75up,dayofyear,year,weekly_hosp_rate_age_ID
0,2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,2020,2080
1,2020-03-07,0.14,0.0,0.0,0.0,,,,,,,,67,2020,2087
2,2020-03-14,6.75,,0.0,,,4.38,8.0,8.66,11.01,14.19,17.63,74,2020,2094
3,2020-03-21,50.7,3.82,0.94,3.0,8.37,20.49,43.1,65.17,90.8,119.78,159.54,81,2020,2101
4,2020-03-28,114.56,8.21,1.2,3.7,18.02,36.67,82.42,141.62,210.63,288.68,398.85,88,2020,2108
5,2020-04-04,143.45,7.64,2.01,3.93,19.44,35.52,78.81,158.55,267.59,380.92,585.1,95,2020,2115
6,2020-04-11,129.92,3.06,1.61,3.7,16.46,29.45,57.44,116.33,227.44,364.92,621.43,102,2020,2122
7,2020-04-18,79.26,4.77,1.61,3.7,13.2,19.21,33.69,67.5,123.53,214.94,413.28,109,2020,2129
8,2020-04-25,46.6,2.1,0.94,3.93,12.2,14.22,19.44,35.89,68.97,122.84,247.68,116,2020,2136
9,2020-05-02,27.32,1.91,1.61,4.16,10.08,11.05,12.31,20.82,39.34,65.53,139.78,123,2020,2143
10,2020-05-09,17.45,2.29,1.61,3.23,9.22,10.18,9.85,13.81,24.83,38.68,74.96,130,2020,2150
11,2020-05-16,11.86,2.67,1.47,2.31,8.23,5.8,7.56,9.73,15.82,24.35,51.82,137,2020,2157
12,2020-05-23,8.73,3.06,0.8,2.77,5.39,5.93,5.63,6.42,9.31,19.62,36.32,144,2020,2164
13,2020-05-30,7.02,1.15,,2.54,5.11,4.92,5.63,5.16,8.41,14.05,27.42,151,2020,2171
14,2020-06-06,6.12,1.15,0.8,1.85,3.97,5.05,5.98,4.18,6.61,9.74,24.93,158,2020,2178
15,2020-06-13,4.92,,1.34,1.85,4.12,3.98,4.93,3.99,6.41,7.93,14.6,165,2020,2185
16,2020-06-20,4.08,0.95,,1.16,3.69,3.64,3.08,3.79,5.11,6.54,13.18,172,2020,2192
17,2020-06-27,3.81,,,1.62,3.41,3.3,3.08,3.6,4.91,6.54,11.4,179,2020,2199
18,2020-07-04,3.51,,0.0,,3.83,3.1,3.61,1.95,5.01,6.68,9.62,186,2020,2206
19,2020-07-11,3.84,0.95,0.94,,2.84,3.71,3.69,3.5,5.31,5.01,11.04,193,2020,2213
20,2020-07-18,3.72,0.95,,,2.55,3.5,3.43,3.89,5.51,4.31,11.22,200,2020,2220
21,2020-07-25,3.09,,,,3.12,3.44,2.46,2.72,3.6,5.7,7.83,207,2020,2227
22,2020-08-01,2.97,0.95,,1.62,1.99,2.7,2.9,2.33,3.3,6.54,7.83,214,2020,2234
23,2020-08-08,2.76,,,,2.13,3.17,1.94,3.4,3.0,4.03,8.72,221,2020,2241
24,2020-08-15,2.81,,1.07,,2.27,2.29,2.02,2.82,4.1,4.73,7.66,228,2020,2248
25,2020-08-22,2.63,1.34,,,2.84,2.22,2.29,2.63,3.6,3.9,6.41,235,2020,2255
26,2020-08-29,2.4,,,,2.27,2.16,1.85,2.63,2.7,4.31,6.94,242,2020,2262
27,2020-09-05,2.32,,0.0,,1.84,1.68,1.94,2.04,2.9,4.45,8.37,249,2020,2269
28,2020-09-12,2.3,,,,0.71,1.82,2.11,2.33,4.1,4.03,6.05,256,2020,2276
29,2020-09-19,2.61,,,1.39,1.84,1.82,1.85,2.14,3.7,5.01,9.26,263,2020,2283
30,2020-09-26,3.12,1.53,,,1.56,1.82,2.73,2.04,3.6,6.82,13.0,270,2020,2290
31,2020-10-03,3.98,0.95,0.0,,2.41,1.48,2.9,3.4,6.01,10.16,15.14,277,2020,2297
