,week_ending,all_race_ethnicity,Asian_Pacific_Islander,Black_African_American,Hispanic_Latino,White,dayofyear,year,weekly_hosp_rate_race_ID
0,2020-02-29,0.0,0.0,0.0,0.0,0.0,60,2020,2080
1,2020-03-07,0.13,,,,,67,2020,2087
2,2020-03-14,6.13,2.9,6.78,7.01,4.69,74,2020,2094
3,2020-03-21,47.18,20.3,55.3,57.38,30.38,81,2020,2101
4,2020-03-28,108.57,45.17,136.4,135.87,57.53,88,2020,2108
5,2020-04-04,136.37,60.4,159.37,176.39,70.25,95,2020,2115
6,2020-04-11,122.25,62.99,144.57,153.49,58.85,102,2020,2122
7,2020-04-18,74.37,37.84,91.09,91.24,37.72,109,2020,2129
8,2020-04-25,43.65,22.52,56.04,49.02,24.41,116,2020,2136
9,2020-05-02,25.74,14.32,32.9,30.37,14.19,123,2020,2143
10,2020-05-09,16.36,6.91,18.87,20.12,10.32,130,2020,2150
11,2020-05-16,11.3,5.02,13.51,13.47,7.61,137,2020,2157
12,2020-05-23,8.46,2.94,10.61,10.7,5.29,144,2020,2164
13,2020-05-30,6.68,1.87,7.63,8.59,4.61,151,2020,2171
14,2020-06-06,5.94,2.2,7.15,8.06,3.53,158,2020,2178
15,2020-06-13,4.7,2.39,5.36,6.17,3.02,165,2020,2185
16,2020-06-20,3.89,1.56,4.11,6.13,2.03,172,2020,2192
17,2020-06-27,3.61,1.88,3.79,5.37,1.74,179,2020,2199
18,2020-07-04,3.38,2.18,3.56,4.71,1.85,186,2020,2206
19,2020-07-11,3.55,2.28,3.89,5.2,1.84,193,2020,2213
20,2020-07-18,3.56,2.05,3.53,5.36,2.01,200,2020,2220
21,2020-07-25,2.85,1.88,3.21,3.48,1.65,207,2020,2227
22,2020-08-01,2.84,1.72,2.52,4.11,1.94,214,2020,2234
23,2020-08-08,2.64,1.89,1.83,4.32,1.45,221,2020,2241
24,2020-08-15,2.78,1.6,2.7,4.57,1.4,228,2020,2248
25,2020-08-22,2.45,2.06,2.12,3.17,1.7,235,2020,2255
26,2020-08-29,2.34,1.19,2.05,2.96,1.81,242,2020,2262
27,2020-09-05,2.26,1.28,1.68,3.08,1.88,249,2020,2269
28,2020-09-12,2.18,1.2,1.97,2.81,1.48,256,2020,2276
29,2020-09-19,2.51,1.05,1.95,3.19,2.2,263,2020,2283
30,2020-09-26,2.9,1.13,2.0,3.31,2.95,270,2020,2290
31,2020-10-03,3.78,2.03,2.85,3.35,4.22,277,2020,2297
32,2020-10-10,4.17,3.14,3.24,2.93,4.7,284,2020,2304
33,2020-10-17,4.27,3.39,3.84,4.2,3.67,291,2020,2311
34,2020-10-24,4.56,3.35,3.2,4.78,4.17,298,2020,2318
35,2020-10-31,4.19,2.69,2.66,5.49,3.69,305,2020,2325
36,2020-11-07,6.36,3.67,4.78,7.88,4.69,312,2020,2332
37,2020-11-14,8.05,5.61,5.93,10.25,6.34,319,2020,2339
38,2020-11-21,9.85,5.07,8.63,12.52,7.45,326,2020,2346
39,2020-11-28,12.37,7.84,9.14,15.09,9.92,333,2020,2353
40,2020-12-05,16.15,12.38,11.92,20.04,11.69,340,2020,2360
41,2020-12-12,19.7,16.02,17.74,22.21,13.37,347,2020,2367
42,2020-12-19,20.33,15.9,15.86,21.83,15.29,354,2020,2374
43,2020-12-26,24.1,20.81,19.33,26.48,16.69,361,2020,2381
44,2021-01-02,27.2,21.07,23.66,29.47,19.25,2,2021,2023
45,2021-01-09,30.77,23.43,26.47,33.96,21.88,9,2021,2030
46,2021-01-16,31.93,24.55,31.6,35.85,20.88,16,2021,2037
47,2021-01-23,31.99,26.3,33.33,35.04,19.54,23,2021,2044
48,2021-01-30,30.96,22.85,32.2,34.71,19.57,30,2021,2051
49,2021-02-06,30.52,22.89,30.47,33.65,19.7,37,2021,2058
50,2021-02-13,27.47,19.66,29.29,28.81,18.65,44,2021,2065
51,2021-02-20,24.88,22.51,24.37,27.22,14.46,51,2021,2072
52,2021-02-27,25.44,21.68,26.09,28.74,14.5,58,2021,2079
53,2021-03-06,23.97,16.05,25.09,25.93,15.45,65,2021,2086
54,2021-03-13,22.93,20.84,23.8,24.41,14.1,72,2021,2093
55,2021-03-20,22.01,18.14,25.32,22.18,13.8,79,2021,2100
56,2021-03-27,24.7,20.73,26.68,26.75,14.84,86,2021,2107
57,2021-04-03,19.72,15.11,23.81,20.73,10.99,93,2021,2114
58,2021-04-10,17.85,13.58,23.23,20.09,8.84,100,2021,2121
59,2021-04-17,14.78,10.92,20.45,14.86,7.88,107,2021,2128
60,2021-04-24,10.89,7.25,14.72,10.25,6.48,114,2021,2135
61,2021-05-01,8.49,5.33,13.74,8.3,3.93,121,2021,2142
62,2021-05-08,6.07,3.07,8.65,6.44,3.46,128,2021,2149
63,2021-05-15,4.69,2.39,6.26,5.5,2.47,135,2021,2156
64,2021-05-22,3.69,1.52,5.71,3.64,2.26,142,2021,2163
65,2021-05-29,2.96,1.51,3.87,3.23,1.84,149,2021,2170
66,2021-06-05,2.14,1.07,2.81,2.79,1.07,156,2021,2177
67,2021-06-12,2.24,0.97,3.03,3.08,1.21,163,2021,2184
68,2021-06-19,2.11,0.88,2.55,2.55,1.26,170,2021,2191
69,2021-06-26,1.82,1.05,1.98,2.26,1.09,177,2021,2198
70,2021-07-03,2.02,1.11,2.65,1.73,1.58,184,2021,2205
71,2021-07-10,2.15,0.9,2.64,2.17,1.62,191,2021,2212
72,2021-07-17,3.14,1.21,4.14,3.02,2.55,198,2021,2219
73,2021-07-24,3.89,1.3,4.7,4.36,2.96,205,2021,2226
74,2021-07-31,6.05,2.48,8.4,6.54,4.28,212,2021,2233
75,2021-08-07,7.78,2.97,11.31,8.21,5.25,219,2021,2240
76,2021-08-14,9.27,3.07,13.87,9.63,6.24,226,2021,2247
77,2021-08-21,8.85,2.45,13.28,10.03,5.64,233,2021,2254
78,2021-08-28,8.38,3.02,11.83,8.82,5.53,240,2021,2261
79,2021-09-04,8.02,2.16,10.64,8.76,5.6,247,2021,2268
80,2021-09-11,6.84,2.65,8.19,7.87,5.04,254,2021,2275
81,2021-09-18,6.91,2.32,9.29,6.94,5.52,261,2021,2282
82,2021-09-25,6.02,2.36,9.18,5.94,4.14,268,2021,2289
83,2021-10-02,5.13,3.07,6.02,5.68,3.55,275,2021,2296
84,2021-10-09,4.79,2.34,5.29,5.03,3.88,282,2021,2303
85,2021-10-16,4.31,2.36,4.33,4.07,3.75,289,2021,2310
86,2021-10-23,3.45,1.59,4.51,3.35,2.6,296,2021,2317
87,2021-10-30,2.75,1.19,2.63,2.35,2.49,303,2021,2324
88,2021-11-06,1.79,0.41,2.26,2.08,1.29,310,2021,2331
